Lyngholmsvej (Stationsmestervej / Aalborg),851940200,57009049,9889761
Stationsmestervej (Hobrovej / Aalborg),851100600,57010244,9887648
Rosengården (Stationsmestervej / Aalborg),851940300,57007350,9892961
Østervænget (Stationsmestervej / Aalborg),851940100,57007422,9895388
Skalborg Station (Stationsmestervej / Aalborg),851220300,57008356,9897860
Anker Engelunds Vej (Stationsmestervej / Aalborg),851935500,57009759,9900710
Hermesvej (Pallasvej / Aalborg),851940000,57013678,9906571
Sofiendal Skole (Hobrovej / Aalborg),851400500,57016285,9895199
Fælledvej (Gugvej / Aalborg),851102500,57007790,9926679
Rødtjørnevej (Gugvej / Aalborg),851153100,57010505,9925942
Junovej (Pallasvej / Aalborg),851935400,57015503,9908458
Nestorvej (Stjernevej / Aalborg),851935300,57016501,9906058
Christmas Møllers Vej (Landlystvej / Aalborg),851962700,57008437,9939408
Apollonvej (Landlystvej / Aalborg),851962600,57007404,9943840
Højbovej (Gugvej / Aalborg),851963200,57014505,9925097
Panstien (Ledavej / Aalborg),851962500,57007871,9947013
C.Th. Zahles Vej (Byplanvej / Aalborg),851032000,57012276,9938977
Erosstien (Byplanvej / Aalborg),851962200,57011889,9945934
Juelsparken (Byplanvej / Aalborg),851962000,57015314,9933547
Rheastien (Zeusvej / Aalborg),851962400,57009183,9954115
Korevej  (Zeusvej / Aalborg),851962300,57011638,9953368
Da Vinci Parken (Alfred Nobels Vej / Aalborg),851008300,57013274,9967176
Sønder Tranders Bygade (Aalborg),851009400,57009741,9982610
Fjelshøjvej (Sønder Tranders Bygade / Aalborg),851009500,57012105,9980291
Halldor Laxness vej (Alfred Nobels Vej / Aalborg),851008400,57012429,9979707
Broagerstien (Hadsundvej / Gistrup),851008600,57006792,9993901
Pontoppidanstræde (Bertil Ohlins Vej / Aalborg),851991200,57015179,9972354
AAU Kantinen (Bertil Ohlins Vej / Aalborg),851991500,57015296,9975958
Niels Jernes Vej (Fredrik Bajers Vej / Aalborg),851008100,57013633,9984148
Postgårdsvej (Alfred Nobels Vej  / Aalborg),851400800,57011521,9994665
AAU Damstræde (Bertil Ohlins Vej / Aalborg),851991600,57014892,9983150
AAU Kroghstræde (Bertil Ohlins Vej / Aalborg),851008000,57015521,9979096
Mejrupstien (Bertil Ohlins Vej / Aalborg),851992000,57014838,9987447
AAU Busterminal (Sigrid Undsetsvej / Aalborg),851000300,57016123,9991114
Klarup Skolevej (Svinetruget / Klarup),851033600,57007116,10043449
Mellemholm (Aalborg Kommune),851300300,57019674,9718984
Porsheden (Aalborg Kommune),851050700,57023036,9693976
Sandtuevej (Bygaden / Aalborg),851943100,57017786,9875279
Lindenborgvej (Sofiendalsvej / Aalborg),851103800,57017858,9877832
Bykrogen (Bygaden / Aalborg),851943000,57020762,9873320
Skalborgstien (Sofiendalsvej / Aalborg),851002000,57019467,9884178
Skelagergårdene (Skelagervej / Aalborg),851052700,57023593,9875513
Rungsvej (Sofiendalsvej / Aalborg),851943400,57021031,9886273
Skelagergårdene Nord (Aalborg),851942800,57023989,9878255
Agertoften (Scheelsmindevej / Aalborg),851935200,57017723,9901707
Sælsager (Skelagervej / Aalborg),851899100,57024231,9882614
Hasseris Gymnasium (Hasserisvej / Aalborg),851101900,57025355,9878291
Follingsvej (Sofiendalsvej / Aalborg),851935000,57024025,9888206
Gøteborgvej (Skelagervej / Aalborg),851103700,57023539,9893581
Scheelsminde (Scheelsmindevej / Aalborg),851101500,57020276,9902939
Malurtvej (Kornblomstvej / Aalborg),851103600,57023494,9900413
Mariendal Mølle (Hobrovej / Aalborg),851002800,57022811,9903532
Vester Mariendal Skole (Stjernevej / Aalborg),851102900,57022173,9908081
Byplanvejens Skole (Byplanvej / Aalborg),851014900,57018415,9927093
Stjernevej (Over Kæret / Aalborg),851102800,57023243,9909537
Hellevangen (Aalborg),851153200,57017193,9933817
Agervangen (Sohngårdsholmsvej / Aalborg),851961600,57018523,9936873
Østeraadalen (Over Kæret / Aalborg),851951900,57024888,9916135
Ivigtutvej (Sohngårdsholmsvej / Aalborg),851961400,57021139,9938932
C.P. Holbølls Plads (Mylius Erichsens Vej/Aalborg),851802100,57021867,9936397
Mylius Erichsens Vej (Aalborg),851961000,57022973,9932891
Pendlerpladsen E45 (Bertil Ohlins Vej / Aalborg),851991400,57018514,9956793
Scoresbysundvej (Bertil Ohlins Vej / Aalborg),851009300,57021166,9952146
Grønlands Torv (Sohngårdsholmsvej / Aalborg),851102300,57023737,9941539
Gigantium syd (Bertil Ohlins Vej / Aalborg),851991300,57017022,9963095
Godfred Hansens Vej (Brønlundsvej / Aalborg),851023400,57025858,9933457
Brønlundsvej (Th. Sauersvej / Aalborg),851023300,57026416,9932531
Gigantium (Einsteins Boulevard / Aalborg),851007900,57019135,9968273
Esbjergparken (Hadsundvej / Aalborg),851900800,57022083,9964623
Fibigerstræde (Niels Bohrsvej / Aalborg),851007500,57018649,9979212
Nordjyske (Langagervej / Aalborg),851982500,57020339,9975815
Sofievej Syd (Hadsundvej / Aalborg),851970800,57024681,9961576
Regionshuset (Fredrik Bajers Vej / Aalborg),851111500,57017031,9984318
Ribevej (Langagervej / Aalborg),851000600,57023413,9975698
Venøsundvej (Aalborg),851983200,57021526,9990557
Tornhøjparken (Tornhøjvej / Aalborg),851983300,57022137,9996220
Tornhøjskolen (Tornhøjvej / Aalborg),851211600,57024645,10001047
Hvidkildevej (Humlebakken / Aalborg),851983900,57024699,10007322
Spergelvej (Klarupvej / Klarup),851012600,57012905,10039449
Bakkelystien (Romdrupvej / Klarup),851004600,57011323,10043503
Lucernevej (Klarupvej / Klarup),851008500,57012033,10043018
Hørsholmvej (Svinetruget / Klarup),851992700,57006631,10047782
Postvej (Klarupvej / Klarup),851805400,57012509,10045220
Klaruphallen (Hellasvej/Klarup),851035200,57011449,10047692
Klitgård (Aalborg Kommune),851100400,57027683,9682676
Nørholm Skole (Aalborg Kommune),851050500,57036277,9723406
Skelbækvej (Nørholmsvej / Aalborg),851944600,57035045,9794448
Restrup Enge (Nørholmsvej/Aalborg),851100500,57034632,9799203
Jægersprisvej (Nørholmsvej / Aalborg),851949900,57036151,9789477
Killerick (Nørholmsvej / Aalborg),851949800,57034290,9804201
Nældevej (Nørholmsvej/Aalborg),851001000,57033796,9811689
Jeronimusvej (Bygaden / Aalborg),851045800,57031306,9869976
Jens Kalstrups Vej (Hasserisvej / Aalborg),851942600,57028915,9880196
Hindbærvej (Under Lien / Aalborg),851089100,57033796,9866838
Nordtoft (Hasserisvej / Aalborg),851942500,57031639,9881697
Solbærvej (Under Lien / Aalborg),851949700,57036088,9867252
Revlingbakken (Kornblomstvej / Aalborg),851934000,57026344,9902642
Firkløvervej (Hobrovej / Aalborg),851002500,57025445,9905878
Bynkevej (Kornblomstvej / Aalborg),851933900,57029346,9904036
Padevænget (Enggårdsgade / Aalborg),851951300,57026083,9915524
Oluf Borchs Vej (Enggårdsgade / Aalborg),851951200,57028465,9915479
Frydendal (Sønderbro / Aalborg),851202800,57026739,9927327
Max Henius Vej (Enggårdsgade / Aalborg),851102700,57030236,9915623
Magisterparken (Sohngårdsholmsvej / Aalborg),851009200,57027602,9944325
Vandværket (Sønderbro / Aalborg),851210200,57032088,9929295
Ritavej (Hadsundvej / Aalborg),851970700,57027063,9959283
Charlottehøj (Hadsundvej / Aalborg),851283300,57030182,9956497
Sohngårdsholmsparken (Sohngårdsholmsvej/Aal,851108200,57032825,9942887
Doravej (Hadsundvej /Aalborg),851007800,57032169,9955130
Tarmvej (Langagervej / Aalborg),851982300,57027135,9976300
Metavej (Elisevej / Aalborg),851802300,57031351,9965225
Gjellerupstien (Humlebakken / Aalborg),851013900,57030227,9979500
Mejrupstien (Humlebakken / Aalborg),851982900,57029859,9987249
Sjørupstien (Humlebakken / Aalborg),851983500,57029526,9991986
Trekanten (Humlebakken / Aalborg),851060800,57026874,10001056
Sebbersundvej (Humlebakken / Aalborg),851983600,57028375,9996894
Nr. Tranders Gadekær (Lemvigvej / Aalborg),851071400,57032537,9988984
Rebildparken (Tranholmvej / Aalborg),851984000,57029418,10012131
Ollerupvej (Svendborgvej / Aalborg),851450400,57029166,10014351
Frøstrupstien (Smedegårdsvej / Aalborg),851981500,57034317,9994503
Kollerupstien (Smedegårdsvej / Aalborg),851260800,57034111,10002054
Skårupstien (Svendborgvej / Aalborg),851900300,57029193,10019241
