18,Tech College,"972800025,851012200,851211300,851902300,851902400,851212900,851225500,851022500,851902800,851001700,851400600","0,1,1,1,2,0,2,1,0,1,2"
18,Aalborg Busterminal (Område C),"851400600,851001700,851902800,851022500,851225500,851212900,851902400,851902300,851211300,851023100,851012200,972800025","0,1,1,0,1,2,1,2,0,1,1,1"
21,Tidselbakken (Vodskov Kirkevej / Vodskov,"851071100,851931800,851001900,851931600,851300400,851931400,851931300,851931200,851931100,851930800,851930600,851930400,851072300,851804100,851200100,851071500,851803500,851805800,851805700,851803600,851071600,851110800,851100600,851400500,851002800,851002500,851806000,851003500,851300500,972800025,851007400,851801200,851002400,851001200,851802700,851802800,851805900,851201300,851803200,851803100,851013100,851803300,851803000,851003400,851280100,851201400,851912700,851912600,851912500,851912300,851995000,851912200","0,0,1,1,1,0,1,0,1,1,1,1,1,2,0,1,0,0,2,1,0,1,1,1,1,0,1,1,2,6,1,2,2,2,0,1,1,1,1,0,1,1,1,1,1,2,1,0,1,1,1,1"
21,Oldstien (Tostrupvej / Godthåb),"851912200,851011700,851912600,851912700,851201400,851280100,851003400,851803000,851803300,851013100,851803100,851803200,851092600,851201300,851805900,851802800,851802700,851001200,851002400,851801200,851007400,972800025,851300500,851003500,851806000,851002500,851002800,851400500,851100600,851110800,851071600,851803600,851805700,851805800,851803500,851071500,851200100,851804100,851072300,851930400,851930600,851930800,851931100,851931200,851931300,851931400,851300400,851931600,851001900,851931800,851071100","0,1,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,6,2,2,1,0,1,1,1,1,1,0,1,2,1,0,0,1,1,2,1,1,1,0,1,1,0,1,1,1,0"
22,Aabybro Busterminal,"851023200,851994800,851400100,851804200,851804300,851008600,851400800,851000300,851992000,851991600,851008000,851991500,851991200,851991300,851991400,851009300,851017600,851009200,851108200,851008900,851210400,851023100,851012200,972800025,851007400,851801200,851002400,851001400,851802900,851805200,851220500,851700300,851500200,851910200,851910100,851806100,851710300,851800300,851500500,851804600,851804700,851804800,849100200,849800300,849800400,849800700,849800500,849200100,849800800,849800200,849800100,849000100","0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,2,1,6,1,2,1,3,0,1,3,0,1,1,0,1,1,6,0,1,0,1,3,1,1,2,1,1,1,5,1,1"
22,Gistrup Skole (Gistrup),"849000100,849800100,849800200,849800800,849200100,849800500,849800700,849800400,849800300,849100200,851804800,851804700,851804600,851500500,851800300,851000800,851710300,851806100,851910100,851910200,851500200,851700300,851220500,851805200,851802900,851001400,851002400,851801200,851007400,972800025,851012200,851210400,851008900,851108200,851009200,851017600,851009300,851991400,851991300,851991200,851991500,851008000,851991600,851992000,851000300,851400800,851008600,851804300,851804200,851400100,851994800,851023200","0,1,1,4,1,1,1,3,1,1,4,0,1,1,1,1,6,0,1,1,1,1,1,1,1,1,3,1,1,6,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2,1,2"
23,Mølholmsvej v/ Løvstikkevej,"851053100,851964400,851964200,851964000,851963800,851102500,851153100,851962700,851962600,851962500,851962400,851962300,851962200,851032000,851962000,851153200,851961600,851802100,851961000,851023400,851202800,851210200,851210800,851210700,851023100,851012200,972800025,851007400,851801200,851002400,851905600,851121900,851946600,851203300,851102200,851948500,851007300,851021900,851948000,851947900,851403000,851003000","0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,7,1,2,1,1,1,0,1,1,1,0,2,1,0,1,1"
23,Visse Ladegård (Vissevej / Aalborg),"851003000,851403000,851947900,851948000,851021900,851007300,851948500,851102200,851203300,851946600,851121900,851905600,851002400,851801200,851007400,972800025,851012200,851023100,851210700,851210800,851210200,851202800,851023400,851961000,851802100,851961600,851153200,851962000,851032000,851962200,851962300,851962400,851962500,851962600,851962700,851153100,851102500,851963800,851964000,851964200,851964400,851053100","0,1,0,1,2,0,1,0,1,1,1,1,2,1,2,7,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1"
24,Dyrskuepladsen (Dyrskuevej / Aalborg),"851000300,851992000,851008100,851008400,851008300,851007900,851900800,851970700,851283300,851007800,851007700,851006300,851007600,851002100,851901200,851210400,851023100,851012200,972800025,851007400,851801200,851002400,851100900,851000700,851905200,851941000,851941100,851941200,851941300,851001500,851088900,851949300,851949400,851949700,851089100,851045800,851942600,851101900,851942800,851943000,851943100,851113100,851110500,851423000,851413000,851110800,851100800","0,0,1,2,2,1,1,1,1,0,1,1,1,2,1,3,1,1,6,1,2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,2,0"
24,AAU Busterminal (Sigrid Undsetsvej / Aalborg),"851100800,851110800,851423000,851110500,851113100,851943100,851943000,851052700,851101900,851942600,851045800,851089100,851949700,851949400,851949300,851088900,851001500,851941300,851941200,851941100,851941000,851905200,851000700,851100900,851002400,851801200,851007400,972800025,851012200,851210400,851901200,851002100,851007200,851007600,851006300,851007700,851007800,851283300,851970700,851970800,851900800,851007900,851008300,851008400,851008100,851992000,851000300","0,0,2,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,2,1,1,1,6,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1"
